categoria;subcategoria;arquivo_original;arquivo_novo;largura_original;altura_original;largura_nova;altura_nova;tamanho_original_kb;tamanho_novo_kb
OBRAS E ENGENHARIA;COLETE REFLETIVO SEM BOLSO;OBRAS E ENGENHARIA/COLETE REFLETIVO SEM BOLSO/IMG_6808.webp;OBRAS E ENGENHARIA/COLETE REFLETIVO SEM BOLSO/obras-engenharia-colete-refletivo-sem-bolso-04.webp;3024;4032;1200;1600;417;106
OBRAS E ENGENHARIA;COLETE REFLETIVO SEM BOLSO;OBRAS E ENGENHARIA/COLETE REFLETIVO SEM BOLSO/IMG_6814.webp;OBRAS E ENGENHARIA/COLETE REFLETIVO SEM BOLSO/obras-engenharia-colete-refletivo-sem-bolso-05.webp;3024;4032;1200;1600;480;100
OBRAS E ENGENHARIA;PLACAS DE SINALIZAÇÃO;OBRAS E ENGENHARIA/PLACAS DE SINALIZAÇÃO/862FB022-941D-45AD-B3FE-6EB338999CD8.webp;OBRAS E ENGENHARIA/PLACAS DE SINALIZAÇÃO/obras-engenharia-placas-sinalizacao-01.webp;1170;2080;900;1600;320;101
OBRAS E ENGENHARIA;PLACAS DE SINALIZAÇÃO;OBRAS E ENGENHARIA/PLACAS DE SINALIZAÇÃO/IMG_4447.webp;OBRAS E ENGENHARIA/PLACAS DE SINALIZAÇÃO/obras-engenharia-placas-sinalizacao-02.webp;3024;4032;1200;1600;388;123
OBRAS E ENGENHARIA;PLACAS DE SINALIZAÇÃO;OBRAS E ENGENHARIA/PLACAS DE SINALIZAÇÃO/mipri_grafica_298358128_165128426096882_2646750062078474422_n.webp;OBRAS E ENGENHARIA/PLACAS DE SINALIZAÇÃO/obras-engenharia-placas-sinalizacao-03.webp;787;860;787;860;46;37
OBRAS E ENGENHARIA;PLACAS DE SINALIZAÇÃO;OBRAS E ENGENHARIA/PLACAS DE SINALIZAÇÃO/mipri_grafica_334741753_929230484882359_8287546666412944239_n.webp;OBRAS E ENGENHARIA/PLACAS DE SINALIZAÇÃO/obras-engenharia-placas-sinalizacao-04.webp;1080;1080;1080;1080;76;50
OBRAS E ENGENHARIA;PLACAS DE SINALIZAÇÃO;OBRAS E ENGENHARIA/PLACAS DE SINALIZAÇÃO/mipri_grafica_335499671_213897457963913_6793633522561051206_n.webp;OBRAS E ENGENHARIA/PLACAS DE SINALIZAÇÃO/obras-engenharia-placas-sinalizacao-05.webp;1080;1080;1080;1080;113;82
PAPEL TIMBRADO;;PAPEL TIMBRADO/WhatsApp Image 2026-04-23 at 15.36.49 (3).jpeg;PAPEL TIMBRADO/papel-timbrado-01.webp;3024;4032;1200;1600;925;73
PAPEL TIMBRADO;;PAPEL TIMBRADO/WhatsApp Image 2026-04-23 at 15.36.49 (4).jpeg;PAPEL TIMBRADO/papel-timbrado-02.webp;3024;4032;1200;1600;842;53
PAPEL TIMBRADO;;PAPEL TIMBRADO/WhatsApp Image 2026-04-23 at 15.36.49 (5).jpeg;PAPEL TIMBRADO/papel-timbrado-03.webp;3024;4032;1200;1600;840;60
PAPEL VEGETAL;;PAPEL VEGETAL/bdxrb8jbf4zepco6ocgt.webp;PAPEL VEGETAL/papel-vegetal-01.webp;3024;4032;1200;1600;1790;51
PAPEL VEGETAL;;PAPEL VEGETAL/gvi80t8bjfflurk2djoe.webp;PAPEL VEGETAL/papel-vegetal-02.webp;3024;4032;1200;1600;1331;279
PAPEL VEGETAL;;PAPEL VEGETAL/jossjspcmka8hgbikzqq.webp;PAPEL VEGETAL/papel-vegetal-03.webp;3024;4032;1200;1600;1734;70
PLACA DE CLINICA;;PLACA DE CLINICA/krb1rvd7ksz6kv0eibvc.webp;PLACA DE CLINICA/placa-clinica-01.webp;3024;4032;1200;1600;1361;41
PLACA DE CLINICA;;PLACA DE CLINICA/yrdnuoa3nkk7k92w123t.webp;PLACA DE CLINICA/placa-clinica-02.webp;3024;4032;1200;1600;1260;77
PLOTAGEM;;PLOTAGEM/nu7oa975xjk9mhjppopd.webp;PLOTAGEM/plotagem-01.webp;3024;4032;1200;1600;1370;103
TAGS;;TAGS/WhatsApp Image 2026-04-22 at 14.05.01 (10).jpeg;TAGS/tags-01.webp;3024;4032;1200;1600;947;116
TAGS;;TAGS/WhatsApp Image 2026-04-22 at 14.05.01 (31).jpeg;TAGS/tags-02.webp;3024;4032;1200;1600;720;65
TAGS;;TAGS/WhatsApp Image 2026-04-22 at 14.05.01 (9).jpeg;TAGS/tags-03.webp;3024;4032;1200;1600;947;111
TRIEDO;;TRIEDO/gpk3sqmrwwurakooyef1.webp;TRIEDO/triedo-01.webp;3024;4032;1200;1600;1571;29
TRIEDO;;TRIEDO/k8a7t6vup5gg7omovjyr.webp;TRIEDO/triedo-02.webp;3024;4032;1200;1600;1687;55
